Year,Country,Location,Name,Type,VEI,Coordinates
1929,Japan,Hokkaido-Japan,Komaga-take,Stratovolcano,4.0,"42.07, 140.68"
1929,Chile,Chile-S,Calbuco,Stratovolcano,3.0,"-41.326, -72.614"
1929,Guatemala,Guatemala,Santa Maria,Stratovolcano,3.0,"14.756, -91.552"
1929,Italy,Italy,Etna,Stratovolcano,2.0,"37.734, 15.004"
1928,Philippines,Luzon-Philippines,Mayon,Stratovolcano,3.0,"13.257, 123.685"
1928,Greece,Greece,Santorini,Shield volcano,2.0,"36.404, 25.396"
1928,Indonesia,Lesser Sunda Is,Paluweh,Stratovolcano,3.0,"-8.32, 121.708"
1928,Indonesia,Java,Dieng Volc Complex,Complex volcano,2.0,"-7.2, 109.92"
1928,Italy,Italy,Etna,Stratovolcano,1.0,"37.734, 15.004"
1927,Iceland,Iceland-SE,Esjufjoll,Stratovolcano,1.0,"64.27, -16.65"
1926,Japan,Hokkaido-Japan,Tokachi,Stratovolcano,3.0,"43.42, 142.68"
1924,United States,Hawaiian Is,Kilauea,Shield volcano,2.0,"19.425, -155.292"
1923,Japan,Kyushu-Japan,Kirishima,Shield volcano,2.0,"31.93, 130.87"
1923,Indonesia,Java,Papandayan,Stratovolcano,1.0,"-7.32, 107.73"
1920,El Salvador,El Salvador,Izalco,Stratovolcano,3.0,"13.813, -89.633"
1920,Indonesia,Java,Merapi,Stratovolcano,3.0,"-7.542, 110.442"
1919,Mexico,Mexico,Popocatepetl,Stratovolcano,1.0,"19.023, -98.622"
1919,United States,Hawaiian Is,Mauna Loa,Shield volcano,0.0,"19.475, -155.608"
1919,Italy,Italy,Stromboli,Stratovolcano,3.0,"38.789, 15.213"
1919,Indonesia,Java,Kelut,Stratovolcano,4.0,"-7.93, 112.308"
1918,Indonesia,Sangihe Is-Indonesia,Banua Wuhu,Submarine volcano,3.0,"3.138, 125.491"
1918,Iceland,Iceland-S,Katla,Subglacial volcano,4.0,"63.63, -19.05"
1917,New Zealand,New Zealand,Okataina,Lava dome,1.0,"-38.12, 176.5"
1917,El Salvador,El Salvador,San Salvador,Stratovolcano,3.0,"13.736, -89.286"
1917,Chile,Chile-S,Calbuco,Stratovolcano,3.0,"-41.326, -72.614"
1916,Italy,Italy,Stromboli,Stratovolcano,3.0,"38.789, 15.213"
1916,Ecuador,Ecuador,Tungurahua,Stratovolcano,4.0,"-1.467, -78.442"
1914,Papua New Guinea,New Britain-SW Pac,Pago,Caldera,3.0,"-5.58, 150.52"
1914,Japan,Kyushu-Japan,Sakura-jima,Stratovolcano,4.0,"31.58, 130.67"
1913,Mexico,Mexico,Colima,Stratovolcano,4.0,"19.514, -103.62"
1913,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
1913,Vanuatu,Vanuatu-SW Pacific,Ambrym,Pyroclastic shield,3.0,"-16.25, 168.12"
1913,Japan,Honshu-Japan,Asama,Complex volcano,1.0,"36.4, 138.53"
1913,Indonesia,Sangihe Is-Indonesia,Awu,Stratovolcano,2.0,"3.67, 125.5"
1912,United States,Alaska Peninsula,Novarupta,Caldera,6.0,"58.27, -155.16"
1911,Indonesia,Java,Semeru,Stratovolcano,3.0,"-8.108, 112.92"
1911,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1911,Japan,Honshu-Japan,Asama,Complex volcano,2.0,"36.4, 138.53"
1911,Philippines,Luzon-Philippines,Taal,Stratovolcano,3.0,"14.002, 120.993"
1910,Japan,Hokkaido-Japan,Usu,Stratovolcano,2.0,"42.53, 140.83"
1909,Indonesia,Java,Semeru,Stratovolcano,2.0,"-8.108, 112.92"
